profile_set,scoring_config,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
simplified,w_g_learned,6144,50,0.38,0.375,0.42857142857142855,0.375,0.4444444444444444,0.3
simplified,w_g_learned,6144,100,0.48,0.4782608695652174,0.625,0.5,0.5789473684210527,0.2727272727272727
simplified,w_g_learned,6144,200,0.63,0.6444444444444445,0.6764705882352942,0.5405405405405406,0.75,0.5454545454545454
simplified,w_g_learned,6144,400,0.7575,0.7816091954022989,0.75,0.7283950617283951,0.825,0.7045454545454546
simplified,w_g_learned,6144,700,0.8514285714285714,0.8609271523178808,0.8378378378378378,0.8496732026143791,0.8979591836734694,0.8043478260869565
simplified,w_g_learned,6144,1000,0.896,0.8990384615384616,0.893491124260355,0.8899521531100478,0.9278846153846154,0.8689320388349514
simplified,w_augmented,42,50,0.28,0.1111111111111111,0.4444444444444444,0.25,0.3076923076923077,0.2727272727272727
simplified,w_augmented,42,100,0.47,0.45454545454545453,0.4117647058823529,0.5714285714285714,0.5384615384615384,0.2857142857142857
simplified,w_augmented,42,200,0.58,0.6046511627906976,0.4444444444444444,0.6818181818181818,0.5714285714285714,0.5714285714285714
simplified,w_augmented,42,400,0.6675,0.6477272727272727,0.5571428571428572,0.7325581395348837,0.6666666666666666,0.72
simplified,w_augmented,42,700,0.7328571428571429,0.6866666666666666,0.6747967479674797,0.7746478873239436,0.7278911564625851,0.7971014492753623
simplified,w_augmented,42,1000,0.764,0.6697247706422018,0.7717391304347826,0.7810945273631841,0.75,0.8578680203045685
simplified,w_augmented,123,50,0.46,0.7,0.2727272727272727,0.3333333333333333,0.7777777777777778,0.2727272727272727
simplified,w_augmented,123,100,0.49,0.7,0.35,0.4166666666666667,0.7058823529411765,0.3157894736842105
simplified,w_augmented,123,200,0.66,0.7317073170731707,0.6222222222222222,0.6097560975609756,0.7567567567567568,0.5833333333333334
simplified,w_augmented,123,400,0.7475,0.7804878048780488,0.7126436781609196,0.7407407407407407,0.7837837837837838,0.7236842105263158
simplified,w_augmented,123,700,0.7714285714285715,0.7480916030534351,0.7414965986394558,0.782608695652174,0.8378378378378378,0.7426470588235294
simplified,w_augmented,123,1000,0.763,0.7379679144385026,0.7263681592039801,0.794392523364486,0.8058252427184466,0.7447916666666666
simplified,w_augmented,456,50,0.52,0.16666666666666666,0.42857142857142855,0.5454545454545454,0.6923076923076923,0.6666666666666666
simplified,w_augmented,456,100,0.5,0.4117647058823529,0.34615384615384615,0.5294117647058824,0.6956521739130435,0.5294117647058824
simplified,w_augmented,456,200,0.565,0.5833333333333334,0.46153846153846156,0.575,0.6341463414634146,0.6129032258064516
simplified,w_augmented,456,400,0.6525,0.6233766233766234,0.5340909090909091,0.6753246753246753,0.7341772151898734,0.7088607594936709
simplified,w_augmented,456,700,0.7,0.6865671641791045,0.6232876712328768,0.7086092715231788,0.7401574803149606,0.7464788732394366
simplified,w_augmented,456,1000,0.714,0.679144385026738,0.6231884057971014,0.748792270531401,0.772972972972973,0.7476635514018691
simplified,w_augmented,789,50,0.52,0.3,0.5714285714285714,0.6153846153846154,0.6363636363636364,0.4444444444444444
simplified,w_augmented,789,100,0.59,0.47619047619047616,0.6470588235294118,0.6666666666666666,0.625,0.5263157894736842
simplified,w_augmented,789,200,0.655,0.6,0.55,0.7380952380952381,0.7352941176470589,0.6764705882352942
simplified,w_augmented,789,400,0.7425,0.7263157894736842,0.7023809523809523,0.7590361445783133,0.7741935483870968,0.7631578947368421
simplified,w_augmented,789,700,0.8271428571428572,0.7894736842105263,0.8364779874213837,0.8409090909090909,0.8583333333333333,0.8175182481751825
simplified,w_augmented,789,1000,0.852,0.8155339805825242,0.8898305084745762,0.8681318681318682,0.8212290502793296,0.8578680203045685
simplified,w_augmented,1024,50,0.38,0.4,0.42857142857142855,0.2,0.5333333333333333,0.25
simplified,w_augmented,1024,100,0.52,0.45,0.5,0.5454545454545454,0.6666666666666666,0.4117647058823529
simplified,w_augmented,1024,200,0.66,0.575,0.631578947368421,0.6521739130434783,0.7777777777777778,0.6451612903225806
simplified,w_augmented,1024,400,0.735,0.6555555555555556,0.7215189873417721,0.7912087912087912,0.8055555555555556,0.7058823529411765
simplified,w_augmented,1024,700,0.76,0.6541353383458647,0.7448275862068966,0.8095238095238095,0.8235294117647058,0.7542372881355932
simplified,w_augmented,1024,1000,0.758,0.6648351648351648,0.7535545023696683,0.7959183673469388,0.8042328042328042,0.7572254335260116
simplified,w_augmented,2048,50,0.24,0.125,0.2,0.4444444444444444,0.21428571428571427,0.21428571428571427
simplified,w_augmented,2048,100,0.44,0.35294117647058826,0.4,0.6111111111111112,0.4444444444444444,0.391304347826087
simplified,w_augmented,2048,200,0.585,0.5588235294117647,0.4864864864864865,0.6923076923076923,0.5652173913043478,0.6136363636363636
simplified,w_augmented,2048,400,0.7575,0.7352941176470589,0.7560975609756098,0.8292682926829268,0.6666666666666666,0.7976190476190477
simplified,w_augmented,2048,700,0.8328571428571429,0.816793893129771,0.8581560283687943,0.8767123287671232,0.7482993197278912,0.8666666666666667
simplified,w_augmented,2048,1000,0.846,0.8072916666666666,0.8984771573604061,0.8844221105527639,0.7476190476190476,0.8960396039603961
simplified,w_augmented,3072,50,0.38,0.42857142857142855,0.2,0.625,0.3333333333333333,0.3333333333333333
simplified,w_augmented,3072,100,0.52,0.36363636363636365,0.45,0.6521739130434783,0.6153846153846154,0.5454545454545454
simplified,w_augmented,3072,200,0.62,0.5555555555555556,0.6363636363636364,0.625,0.6333333333333333,0.6585365853658537
simplified,w_augmented,3072,400,0.75,0.6987951807228916,0.7926829268292683,0.7236842105263158,0.7424242424242424,0.7849462365591398
simplified,w_augmented,3072,700,0.8228571428571428,0.7941176470588235,0.8639455782312925,0.8188405797101449,0.7637795275590551,0.8618421052631579
simplified,w_augmented,3072,1000,0.849,0.7864583333333334,0.9033816425120773,0.8578680203045685,0.7857142857142857,0.8963963963963963
simplified,w_augmented,4096,50,0.56,0.8,0.4444444444444444,0.6666666666666666,0.42857142857142855,0.6153846153846154
simplified,w_augmented,4096,100,0.68,0.8,0.5882352941176471,0.8333333333333334,0.6,0.6
simplified,w_augmented,4096,200,0.685,0.7804878048780488,0.4411764705882353,0.8125,0.6530612244897959,0.7272727272727273
simplified,w_augmented,4096,400,0.72,0.7831325301204819,0.5584415584415584,0.7692307692307693,0.7228915662650602,0.7608695652173914
