profile_set,scoring_config,seed,g_credential_access_travel_match,g_credential_access_asset_criticality,g_credential_access_threat_intel,g_credential_access_time_anomaly,g_credential_access_device_trust,g_credential_access_pattern_history,g_threat_intel_match_travel_match,g_threat_intel_match_asset_criticality,g_threat_intel_match_threat_intel,g_threat_intel_match_time_anomaly,g_threat_intel_match_device_trust,g_threat_intel_match_pattern_history,g_lateral_movement_travel_match,g_lateral_movement_asset_criticality,g_lateral_movement_threat_intel,g_lateral_movement_time_anomaly,g_lateral_movement_device_trust,g_lateral_movement_pattern_history,g_data_exfiltration_travel_match,g_data_exfiltration_asset_criticality,g_data_exfiltration_threat_intel,g_data_exfiltration_time_anomaly,g_data_exfiltration_device_trust,g_data_exfiltration_pattern_history,g_insider_threat_travel_match,g_insider_threat_asset_criticality,g_insider_threat_threat_intel,g_insider_threat_time_anomaly,g_insider_threat_device_trust,g_insider_threat_pattern_history
simplified,w_g_static,42,0.8604546118073645,0.3925601827978902,0.2126561411536816,0.46710772127056505,0.9999999998574034,0.9596684450910739,0.8298591020389829,0.8125360139076417,0.9999999998675638,0.8802704254887767,0.3361241519377005,0.26676079469842445,0.5960319507463507,0.9999999998704848,0.9618830619160279,0.982218856654628,0.4475220331811316,0.41992590491919407,0.7828843170046619,0.9693102323004104,0.5816080139188978,0.999999999875824,0.2946198072022253,0.3588271442374277,0.9123617481205262,0.999999999873491,0.8930176534370567,0.9666539738895518,0.4378762787128549,0.4915190730645736
simplified,w_g_static,123,0.9503829080216307,0.5313812650755992,0.24605063543114797,0.5086212136614838,0.9999999998642757,0.9775070725608513,0.9999999998629517,0.735033041998548,0.984994930542085,0.6928044513391989,0.7533355747707122,0.9413444162417137,0.8526157121976976,0.9112429328484697,0.9999999998702361,0.9217511819771071,0.40976391902377407,0.364582462268791,0.7611999029647586,0.9968355208056117,0.8853685689917168,0.9999999998582475,0.26081099361247284,0.2535004536799805,0.9180278564493957,0.792199955437244,0.9999999998624135,0.7462831633479639,0.5570115896564005,0.48363167228670995
simplified,w_g_static,456,0.8712324446881552,0.4696252469956028,0.6016083612653461,0.4497352853354421,0.9437640091740345,0.9999999998704177,0.999999999888932,0.5340374380324978,0.807918901695163,0.5653886150389811,0.6154525717802041,0.5081129090815235,0.6218630069114526,0.9818578165475684,0.8618863045588754,0.99999999986967,0.32164808001884,0.3404506832574422,0.597279643929467,0.9480651682402278,0.804923815176941,0.9999999998745247,0.5569479553896962,0.5422706982869484,0.9999999998667793,0.7472446081362326,0.992648791972117,0.6904967653188204,0.6191775604044621,0.6506072544728161
simplified,w_g_static,789,0.8267897138423165,0.26450266481050305,0.4820932892777829,0.21416289831285304,0.9140715086608754,0.9999999998612051,0.7456729179750262,0.8855674453851535,0.9999999998703132,0.9700113374557495,0.7705333768625319,0.753799113153987,0.8559907435120538,0.9173443143012292,0.9672866618746482,0.9999999998703072,0.33496933654814365,0.38176836514533613,0.5350868682885033,0.8916525610508881,0.9999999998712502,0.9879509741990468,0.12557448056114018,0.1499962455982463,0.6299652819883713,0.9999999998762374,0.7779308532373824,0.9381404206498623,0.6225582239780241,0.623133626306606
simplified,w_g_static,1024,0.8544363871054104,0.26241974872738866,0.42632342807616996,0.17420157431310584,0.9999999998718528,0.8839755766162966,0.7676942913108181,0.8897669203732499,0.9999999998626921,0.8408928349444504,0.7368742492897921,0.800145449825149,0.5576831053288887,0.910218551328177,0.7296256878449103,0.999999999876299,0.3442246804003754,0.44023713447222,0.9495457109656084,0.9854771654109156,0.7284550959787396,0.9999999998604485,0.36309371067888996,0.2032536095863964,0.8629253137647394,0.8565808375787026,0.999999999863798,0.813031642050444,0.6072454593003757,0.8909688814338408
simplified,w_g_static,2048,0.8922125474359462,0.09797232916571495,0.43235077739023875,0.19245589249182632,0.9106845154902181,0.9999999998683501,0.9999999998731407,0.797446454206487,0.9485989746607542,0.7994826259560439,0.6988771895431614,0.8076157216885121,0.7432649817386047,0.9156438398270796,0.8403256539333201,0.9999999998794318,0.4988363964373281,0.419476138327783,0.574153880293973,0.9516168485790728,0.9181738552489317,0.9999999998729763,0.525237676021285,0.47300860756581864,0.770181432240169,0.9999999998904641,0.6918153776817775,0.8539443873215998,0.5725407501568691,0.5550907650605559
simplified,w_g_static,3072,0.8725592741375111,0.22611268145558827,0.2832554925306499,0.13312825308215973,0.9753333094237635,0.9999999998632897,0.9402559232364247,0.5106383290102374,0.9999999998702956,0.5593170369300996,0.7279307290388933,0.6751045748699745,0.9539749246503512,0.9822519002677953,0.9962965066643393,0.9999999998601288,0.5786085804007337,0.5276622361649529,0.8292056260585994,0.9928233111113733,0.8903807751852812,0.9999999998653505,0.05,0.05,0.9874172112278572,0.9999999998608756,0.9815386873672347,0.9590002058236473,0.5995423531347834,0.6009065645527918
simplified,w_g_static,4096,0.8132777148911431,0.615012007909763,0.41079972321512026,0.6047375668892224,0.9933115130012694,0.999999999865913,0.9643808202016968,0.693458765109543,0.9999999998777737,0.6501227225033183,0.5981784295718523,0.4518886832096088,0.7202357983692435,0.9999999998709155,0.9151582336434158,0.9947338772295617,0.6634456048105912,0.6679739589630436,0.5732535107436182,0.8948510473686627,0.9301194005502242,0.9999999998682106,0.5724327718351073,0.7563305355292448,0.8745753693923989,0.9652458330670903,0.9592696646260782,0.999999999860454,0.4583747643009315,0.49182588249103415
simplified,w_g_static,5120,0.9351999621095243,0.37122742013439575,0.39366197112977275,0.47556454393855807,0.9913404061427731,0.9999999998555072,0.9999999998611713,0.8250815221561864,0.8818246640347782,0.8711126203969904,0.6664017125893703,0.7293753577025364,0.9547607072908056,0.8457286421769253,0.9999999998720835,0.9531954450330961,0.2123584235817162,0.05,0.8010900146540185,0.9554334854869174,0.9287457125260367,0.9999999998682988,0.5168476216957868,0.4464563468531292,0.9117994495549739,0.9191368392565625,0.9586487927902249,0.9999999998680008,0.49913625221223895,0.3873524625955376
simplified,w_g_static,6144,0.7547089493565207,0.12224982164076928,0.6484763738917397,0.10531651045136493,0.9999999998604597,0.9557191106870155,0.9014697306274913,0.9041983971654022,0.9772573077421611,0.9999999998599821,0.7904755122105799,0.6530957857692129,0.8580669709919356,0.6875128070744531,0.9999999998824404,0.6471875567904694,0.5411084793310006,0.5505565506641816,0.6570113560934518,0.9999999998634901,0.8528323391256223,0.9801610880889742,0.35050230739951505,0.1984413131973932,0.3133840991099044,0.9151372321116027,0.9999999998632398,0.9642291826363873,0.6499337228591241,0.7690051226375899
