seed,schedule,checkpoint,effective_ratio,cumulative_gt_acc,recent_50_gt_acc,w_frobenius,w_max,w_entropy,grad_mag_f0,grad_mag_f1,grad_mag_f2,grad_mag_f3,grad_mag_f4,grad_mag_f5,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
4096,fixed_optimal,1000,2.0,0.699,0.72,2.835485,1.376484,1.382428,0.011348,0.0126,0.012702,0.01685,0.00876,0.007911,0.81,0.675,0.655,0.655,0.7
5120,fixed_optimal,50,2.0,0.66,0.66,2.594153,1.002137,1.383886,0.009631,0.013202,0.011249,0.015286,0.007274,0.006661,0.75,0.636364,0.615385,0.666667,0.666667
5120,fixed_optimal,100,2.0,0.68,0.7,2.629349,1.055093,1.383361,0.008875,0.012632,0.014116,0.015759,0.008184,0.007045,0.666667,0.692308,0.73913,0.636364,0.642857
5120,fixed_optimal,200,2.0,0.715,0.84,2.735648,1.1287,1.384528,0.009467,0.013251,0.011095,0.01344,0.008561,0.007535,0.731707,0.7,0.794118,0.722222,0.653061
5120,fixed_optimal,400,2.0,0.7075,0.66,2.932028,1.321508,1.385379,0.009967,0.013362,0.012755,0.015321,0.007645,0.006704,0.776316,0.640449,0.764706,0.703704,0.674419
5120,fixed_optimal,700,2.0,0.72,0.82,3.547492,1.623224,1.380682,0.010009,0.011242,0.011072,0.012197,0.009286,0.007778,0.79562,0.666667,0.729323,0.722628,0.691781
5120,fixed_optimal,1000,2.0,0.738,0.8,4.116094,1.934534,1.375846,0.008739,0.010819,0.009916,0.012968,0.009167,0.00875,0.795,0.695,0.705,0.76,0.735
6144,fixed_optimal,50,2.0,0.66,0.66,2.462434,0.979594,1.384826,0.009655,0.015041,0.010448,0.015592,0.007949,0.009458,0.846154,0.625,0.625,0.583333,0.555556
6144,fixed_optimal,100,2.0,0.73,0.8,2.617657,1.113071,1.382681,0.009966,0.01307,0.010947,0.013583,0.008816,0.008538,0.923077,0.666667,0.785714,0.590909,0.65
6144,fixed_optimal,200,2.0,0.67,0.64,2.525757,1.199435,1.381996,0.009409,0.016404,0.012522,0.016844,0.007352,0.006315,0.902439,0.575758,0.659091,0.648649,0.555556
6144,fixed_optimal,400,2.0,0.6875,0.78,2.744682,1.362846,1.380712,0.007346,0.014636,0.010613,0.016294,0.006217,0.005992,0.819277,0.621622,0.675325,0.679012,0.635294
6144,fixed_optimal,700,2.0,0.715714,0.62,3.315059,1.575697,1.381961,0.010808,0.012643,0.011358,0.015037,0.007455,0.006826,0.827068,0.666667,0.722973,0.71223,0.655172
6144,fixed_optimal,1000,2.0,0.728,0.74,3.401127,1.59931,1.382704,0.010983,0.013357,0.012515,0.016598,0.005899,0.006185,0.78,0.69,0.735,0.73,0.705
42,warmup,50,1.375,0.6,0.6,2.528105,1.000725,1.38602,0.007629,0.010393,0.010102,0.013344,0.006013,0.004963,0.4,0.615385,0.571429,0.6,0.7
42,warmup,100,1.75,0.66,0.72,2.606749,1.030821,1.385179,0.009512,0.011099,0.011102,0.014057,0.007311,0.006859,0.722222,0.666667,0.588235,0.571429,0.764706
42,warmup,200,2.5,0.685,0.72,2.554186,1.021188,1.384262,0.006999,0.017968,0.016346,0.019351,0.007691,0.00636,0.771429,0.744186,0.604651,0.636364,0.685714
42,warmup,400,2.5,0.695,0.64,2.475368,1.214933,1.38226,0.012479,0.014646,0.018833,0.018604,0.010145,0.008758,0.817073,0.678571,0.64,0.658537,0.675325
42,warmup,700,2.5,0.701429,0.7,2.818678,1.468387,1.380109,0.010957,0.013905,0.013025,0.017007,0.00912,0.008926,0.808511,0.671533,0.644928,0.69863,0.681159
42,warmup,1000,2.5,0.727,0.7,3.295161,1.627185,1.381245,0.010176,0.012937,0.013464,0.017014,0.009037,0.009452,0.815,0.695,0.645,0.745,0.735
123,warmup,50,1.375,0.68,0.68,2.734059,1.090447,1.38417,0.005279,0.011738,0.009498,0.011893,0.006356,0.006361,0.75,0.777778,0.642857,0.454545,0.875
123,warmup,100,1.75,0.63,0.58,2.680723,1.106704,1.384322,0.009101,0.012325,0.012748,0.013882,0.008061,0.006152,0.666667,0.588235,0.615385,0.55,0.736842
123,warmup,200,2.5,0.645,0.62,2.647316,1.280317,1.383852,0.012235,0.017185,0.015265,0.020067,0.00666,0.006577,0.59375,0.651163,0.595238,0.704545,0.666667
123,warmup,400,2.5,0.69,0.86,2.657082,1.358045,1.386088,0.00886,0.012417,0.012711,0.01488,0.007107,0.006373,0.69863,0.642857,0.657534,0.710843,0.735632
123,warmup,700,2.5,0.735714,0.82,2.728285,1.485614,1.385399,0.011824,0.013823,0.015398,0.015194,0.008861,0.008368,0.798507,0.671141,0.716418,0.744681,0.753521
123,warmup,1000,2.5,0.76,0.82,3.155943,1.684667,1.38519,0.010452,0.014224,0.010849,0.017765,0.008384,0.009907,0.8,0.7,0.72,0.8,0.78
456,warmup,50,1.375,0.66,0.66,2.557029,0.980311,1.385014,0.007082,0.01014,0.009953,0.010716,0.007325,0.006693,0.75,0.777778,0.230769,0.75,1.0
456,warmup,100,1.75,0.62,0.58,2.540316,1.007136,1.383379,0.009272,0.010975,0.01284,0.014215,0.008187,0.007385,0.8125,0.55,0.368421,0.782609,0.590909
456,warmup,200,2.5,0.69,0.7,2.396424,0.975561,1.383896,0.009702,0.017676,0.015517,0.018709,0.008873,0.007654,0.852941,0.638889,0.511628,0.76087,0.707317
456,warmup,400,2.5,0.705,0.74,2.547812,1.129465,1.384889,0.011117,0.014125,0.015976,0.017846,0.009645,0.009733,0.826667,0.649351,0.5625,0.759494,0.730337
456,warmup,700,2.5,0.742857,0.8,2.900485,1.374749,1.38329,0.009105,0.0142,0.01402,0.015741,0.008779,0.009596,0.835821,0.708029,0.643357,0.775362,0.756757
456,warmup,1000,2.5,0.764,0.74,3.257669,1.670308,1.378935,0.010063,0.01804,0.014713,0.017815,0.007725,0.00799,0.85,0.74,0.68,0.79,0.76
