seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
5120,gt_aligned,0.15,400,0.5975,0.75,2.593248,1.335409,0.855263,0.797753,0.25,0.185185,0.825581
5120,gt_aligned,0.15,700,0.638571,0.8,4.320146,2.139615,0.919708,0.877551,0.338346,0.116788,0.89726
5120,gt_aligned,0.15,1000,0.654,0.75,5.639762,2.747004,0.945,0.91,0.38,0.11,0.925
6144,gt_aligned,0.15,50,0.4,0.55,0.626391,0.331091,0.769231,0.5,0.125,0.416667,0.0
6144,gt_aligned,0.15,100,0.45,0.55,1.016877,0.617509,0.884615,0.388889,0.214286,0.454545,0.1
6144,gt_aligned,0.15,200,0.53,0.55,1.533957,0.879864,0.926829,0.30303,0.636364,0.594595,0.177778
6144,gt_aligned,0.15,400,0.645,0.8,2.76689,1.417027,0.963855,0.351351,0.779221,0.802469,0.317647
6144,gt_aligned,0.15,700,0.754286,1.0,4.628652,2.181438,0.977444,0.474074,0.885135,0.884892,0.551724
6144,gt_aligned,0.15,1000,0.808,1.0,6.131193,2.80621,0.985,0.55,0.915,0.92,0.67
42,gt_aligned,0.3,50,0.32,0.45,0.529057,0.198157,0.8,0.153846,0.285714,0.4,0.2
42,gt_aligned,0.3,100,0.37,0.45,0.653979,0.259785,0.277778,0.407407,0.411765,0.333333,0.411765
42,gt_aligned,0.3,200,0.51,0.65,1.226525,0.542533,0.542857,0.604651,0.488372,0.5,0.4
42,gt_aligned,0.3,400,0.6125,0.7,2.364612,1.198258,0.804878,0.630952,0.586667,0.731707,0.285714
42,gt_aligned,0.3,700,0.671429,0.7,3.674389,1.826454,0.886525,0.649635,0.731884,0.842466,0.231884
42,gt_aligned,0.3,1000,0.703,0.75,4.7905,2.363332,0.92,0.695,0.805,0.885,0.21
123,gt_aligned,0.3,50,0.24,0.1,0.431464,0.138815,0.25,0.111111,0.214286,0.272727,0.375
123,gt_aligned,0.3,100,0.28,0.4,0.537348,0.188088,0.277778,0.235294,0.269231,0.25,0.368421
123,gt_aligned,0.3,200,0.395,0.5,0.826423,0.424111,0.3125,0.55814,0.309524,0.272727,0.512821
123,gt_aligned,0.3,400,0.59,0.95,1.838394,0.944924,0.479452,0.72619,0.561644,0.445783,0.712644
123,gt_aligned,0.3,700,0.747143,1.0,3.346646,1.657392,0.716418,0.838926,0.723881,0.624113,0.823944
123,gt_aligned,0.3,1000,0.818,1.0,4.701314,2.236478,0.81,0.88,0.81,0.715,0.875
456,gt_aligned,0.3,50,0.32,0.45,0.574516,0.19304,0.125,0.444444,0.230769,0.166667,0.75
456,gt_aligned,0.3,100,0.32,0.3,0.702437,0.25405,0.3125,0.25,0.315789,0.304348,0.409091
456,gt_aligned,0.3,200,0.51,0.75,1.195238,0.485654,0.558824,0.5,0.465116,0.521739,0.512195
456,gt_aligned,0.3,400,0.7225,1.0,2.403897,1.009639,0.786667,0.74026,0.6375,0.683544,0.764045
456,gt_aligned,0.3,700,0.838571,1.0,3.868903,1.699264,0.880597,0.846715,0.79021,0.818841,0.858108
456,gt_aligned,0.3,1000,0.887,1.0,5.181509,2.203631,0.92,0.895,0.85,0.875,0.895
789,gt_aligned,0.3,50,0.4,0.4,0.573549,0.284457,0.545455,0.222222,0.2,0.555556,0.142857
789,gt_aligned,0.3,100,0.46,0.5,0.808354,0.466579,0.4375,0.333333,0.5,0.689655,0.285714
789,gt_aligned,0.3,200,0.41,0.45,1.027339,0.687391,0.25,0.214286,0.541667,0.803922,0.212766
789,gt_aligned,0.3,400,0.4225,0.45,1.701799,1.119994,0.133333,0.160494,0.782609,0.883721,0.179775
789,gt_aligned,0.3,700,0.431429,0.5,2.82991,1.732541,0.073529,0.097902,0.892086,0.931507,0.132353
789,gt_aligned,0.3,1000,0.417,0.4,3.682107,2.272626,0.05,0.07,0.925,0.95,0.09
1024,gt_aligned,0.3,50,0.22,0.35,0.568954,0.163426,0.214286,0.076923,0.285714,0.142857,0.444444
1024,gt_aligned,0.3,100,0.24,0.25,0.670632,0.210114,0.192308,0.095238,0.285714,0.222222,0.428571
1024,gt_aligned,0.3,200,0.23,0.3,0.837106,0.28284,0.204545,0.119048,0.194444,0.243243,0.390244
1024,gt_aligned,0.3,400,0.305,0.5,1.261,0.526245,0.278481,0.3125,0.105882,0.276316,0.5625
1024,gt_aligned,0.3,700,0.455714,0.7,2.318673,1.160096,0.541353,0.604167,0.081633,0.326087,0.746377
1024,gt_aligned,0.3,1000,0.537,0.75,3.496943,1.711206,0.695,0.715,0.075,0.375,0.825
2048,gt_aligned,0.3,50,0.24,0.3,0.500716,0.168876,0.636364,0.25,0.0,0.111111,0.111111
2048,gt_aligned,0.3,100,0.23,0.15,0.606,0.210721,0.611111,0.25,0.130435,0.0625,0.105263
2048,gt_aligned,0.3,200,0.27,0.35,0.904326,0.414521,0.710526,0.333333,0.162791,0.057143,0.095238
2048,gt_aligned,0.3,400,0.3325,0.45,1.719257,0.951756,0.846154,0.45122,0.108434,0.041096,0.214286
2048,gt_aligned,0.3,700,0.397143,0.45,2.68536,1.433797,0.912409,0.662252,0.073529,0.037594,0.265734
2048,gt_aligned,0.3,1000,0.416,0.4,3.452094,1.918593,0.94,0.74,0.05,0.035,0.315
3072,gt_aligned,0.3,50,0.24,0.25,0.519314,0.194704,0.142857,0.181818,0.0,0.363636,0.357143
3072,gt_aligned,0.3,100,0.31,0.4,0.65411,0.290255,0.294118,0.375,0.0,0.363636,0.391304
3072,gt_aligned,0.3,200,0.445,0.8,1.136658,0.539681,0.5625,0.413043,0.205128,0.511628,0.55
3072,gt_aligned,0.3,400,0.6475,0.85,2.331509,1.110114,0.805195,0.578313,0.39726,0.684211,0.747253
3072,gt_aligned,0.3,700,0.772857,1.0,3.830169,1.636289,0.891304,0.739437,0.593103,0.813953,0.835616
3072,gt_aligned,0.3,1000,0.833,1.0,5.125789,2.179252,0.925,0.815,0.675,0.88,0.87
4096,gt_aligned,0.3,50,0.2,0.15,0.476431,0.163714,0.4,0.0,0.0,0.181818,0.4
4096,gt_aligned,0.3,100,0.23,0.35,0.588521,0.204857,0.454545,0.133333,0.045455,0.117647,0.333333
4096,gt_aligned,0.3,200,0.285,0.25,1.048043,0.589234,0.727273,0.133333,0.071429,0.128205,0.288889
4096,gt_aligned,0.3,400,0.3425,0.5,1.78886,1.076408,0.855422,0.320513,0.12987,0.112676,0.252747
4096,gt_aligned,0.3,700,0.35,0.25,2.770921,1.698663,0.915493,0.373239,0.092199,0.096296,0.257143
4096,gt_aligned,0.3,1000,0.349,0.25,3.590632,2.207907,0.94,0.405,0.065,0.07,0.265
5120,gt_aligned,0.3,50,0.26,0.2,0.450914,0.135312,0.25,0.272727,0.076923,0.666667,0.25
5120,gt_aligned,0.3,100,0.33,0.55,0.560258,0.332389,0.166667,0.307692,0.086957,0.454545,0.571429
5120,gt_aligned,0.3,200,0.38,0.55,0.77196,0.45539,0.268293,0.35,0.147059,0.333333,0.693878
5120,gt_aligned,0.3,400,0.52,0.75,1.64616,0.9276,0.447368,0.617978,0.397059,0.259259,0.825581
5120,gt_aligned,0.3,700,0.625714,0.85,3.0492,1.62708,0.693431,0.768707,0.56391,0.175182,0.89726
5120,gt_aligned,0.3,1000,0.661,0.75,4.182166,2.232827,0.79,0.83,0.635,0.125,0.925
6144,gt_aligned,0.3,50,0.38,0.5,0.69056,0.32702,0.769231,0.5,0.0,0.416667,0.0
6144,gt_aligned,0.3,100,0.42,0.45,0.966882,0.534588,0.884615,0.333333,0.071429,0.454545,0.1
6144,gt_aligned,0.3,200,0.39,0.35,1.4323,0.856429,0.926829,0.242424,0.227273,0.513514,0.066667
6144,gt_aligned,0.3,400,0.4025,0.15,1.948964,1.209711,0.963855,0.148649,0.220779,0.580247,0.070588
6144,gt_aligned,0.3,700,0.418571,0.5,2.743281,1.635837,0.977444,0.103704,0.324324,0.676259,0.048276
6144,gt_aligned,0.3,1000,0.453,0.35,3.637112,2.158304,0.985,0.085,0.39,0.76,0.045
