seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
4096,bernoulli,-1.0,1000,0.195,0.2,6.275806,2.859306,0.94,0.0,0.005,0.01,0.02
5120,bernoulli,-1.0,50,0.28,0.2,0.664752,0.195404,0.25,0.272727,0.076923,0.666667,0.333333
5120,bernoulli,-1.0,100,0.41,0.7,0.981741,0.474981,0.166667,0.538462,0.043478,0.545455,0.642857
5120,bernoulli,-1.0,200,0.395,0.3,1.688247,0.795304,0.097561,0.7,0.058824,0.166667,0.795918
5120,bernoulli,-1.0,400,0.4125,0.45,3.03324,1.381399,0.052632,0.865169,0.029412,0.074074,0.883721
5120,bernoulli,-1.0,700,0.404286,0.4,4.79664,2.269091,0.029197,0.918367,0.015038,0.043796,0.931507
5120,bernoulli,-1.0,1000,0.39,0.3,6.342022,3.050719,0.02,0.94,0.01,0.03,0.95
6144,bernoulli,-1.0,50,0.3,0.25,0.678059,0.234574,0.384615,0.5,0.0,0.5,0.0
6144,bernoulli,-1.0,100,0.19,0.1,0.987054,0.435642,0.192308,0.333333,0.0,0.363636,0.0
6144,bernoulli,-1.0,200,0.12,0.1,1.572258,0.67056,0.121951,0.242424,0.045455,0.243243,0.0
6144,bernoulli,-1.0,400,0.0625,0.0,2.712174,1.271469,0.060241,0.121622,0.025974,0.111111,0.0
6144,bernoulli,-1.0,700,0.035714,0.0,4.405891,2.011321,0.037594,0.066667,0.013514,0.064748,0.0
6144,bernoulli,-1.0,1000,0.025,0.0,6.06151,2.888344,0.025,0.045,0.01,0.045,0.0
42,gt_aligned,0.0,50,0.42,0.55,0.599714,0.303126,0.8,0.307692,0.285714,0.6,0.2
42,gt_aligned,0.0,100,0.54,0.7,1.012625,0.453059,0.833333,0.555556,0.411765,0.52381,0.352941
42,gt_aligned,0.0,200,0.68,0.9,1.934761,0.816227,0.914286,0.72093,0.604651,0.659091,0.514286
42,gt_aligned,0.0,400,0.8325,1.0,4.036823,1.702561,0.963415,0.857143,0.76,0.817073,0.753247
42,gt_aligned,0.0,700,0.901429,1.0,6.64693,2.832194,0.978723,0.912409,0.855072,0.89726,0.862319
42,gt_aligned,0.0,1000,0.931,1.0,8.836239,3.677455,0.985,0.94,0.9,0.925,0.905
123,gt_aligned,0.0,50,0.38,0.4,0.530423,0.228677,0.375,0.222222,0.357143,0.454545,0.5
123,gt_aligned,0.0,100,0.47,0.75,0.848099,0.404329,0.555556,0.235294,0.461538,0.6,0.473684
123,gt_aligned,0.0,200,0.66,0.85,1.78128,0.885931,0.75,0.534884,0.642857,0.795455,0.589744
123,gt_aligned,0.0,400,0.815,1.0,3.816027,1.709612,0.890411,0.72619,0.780822,0.891566,0.793103
123,gt_aligned,0.0,700,0.892857,1.0,6.434339,2.739114,0.940299,0.845638,0.873134,0.93617,0.873239
123,gt_aligned,0.0,1000,0.925,1.0,8.639961,3.622829,0.96,0.885,0.915,0.955,0.91
456,gt_aligned,0.0,50,0.4,0.45,0.559362,0.294089,0.125,0.222222,0.615385,0.25,0.75
456,gt_aligned,0.0,100,0.46,0.5,0.840056,0.420102,0.3125,0.2,0.578947,0.521739,0.636364
456,gt_aligned,0.0,200,0.69,0.95,1.932316,0.966721,0.617647,0.444444,0.813953,0.73913,0.780488
456,gt_aligned,0.0,400,0.84,1.0,4.040477,1.908612,0.826667,0.714286,0.9,0.848101,0.898876
456,gt_aligned,0.0,700,0.908571,1.0,6.686993,3.005369,0.902985,0.839416,0.944056,0.913043,0.939189
456,gt_aligned,0.0,1000,0.936,1.0,8.871003,3.814391,0.935,0.89,0.96,0.94,0.955
789,gt_aligned,0.0,50,0.38,0.4,0.590096,0.325068,0.545455,0.111111,0.2,0.555556,0.142857
789,gt_aligned,0.0,100,0.5,0.7,0.939084,0.557231,0.6875,0.291667,0.5,0.655172,0.380952
789,gt_aligned,0.0,200,0.67,0.9,1.915964,1.025784,0.861111,0.5,0.583333,0.803922,0.574468
789,gt_aligned,0.0,400,0.8275,1.0,3.947053,1.819228,0.933333,0.716049,0.84058,0.883721,0.775281
789,gt_aligned,0.0,700,0.9,1.0,6.529789,2.883202,0.963235,0.832168,0.920863,0.931507,0.852941
789,gt_aligned,0.0,1000,0.928,1.0,8.697898,3.696817,0.975,0.88,0.945,0.95,0.89
1024,gt_aligned,0.0,50,0.34,0.6,0.549638,0.232674,0.428571,0.230769,0.428571,0.142857,0.444444
1024,gt_aligned,0.0,100,0.52,0.75,1.017819,0.504286,0.692308,0.238095,0.642857,0.555556,0.47619
1024,gt_aligned,0.0,200,0.645,0.95,1.88926,0.866637,0.818182,0.357143,0.805556,0.648649,0.609756
