seed,sweep,domain,mean_norm,std_norm,max_norm,min_norm,n_entities
42,0,security,1.0,6.977643512971219e-17,1.0000000000000002,0.9999999999999998,200
42,0,decision_history,1.0,6.977643512971219e-17,1.0000000000000002,0.9999999999999998,200
42,0,threat_intel,1.0,6.843874359417886e-17,1.0000000000000002,0.9999999999999998,200
42,0,network_flow,1.0,7.23776861244768e-17,1.0000000000000002,0.9999999999999998,200
42,0,asset_inventory,1.0,7.065416064076987e-17,1.0000000000000002,0.9999999999999998,200
42,0,user_behavior,1.0,6.377745716588144e-17,1.0000000000000002,0.9999999999999999,200
42,1,security,1.011766491962095,0.008207271035097507,1.0358118082986523,0.9913107998491649,200
42,1,decision_history,1.021655313389332,0.021795268147722115,1.1072002352817272,0.9781510424719594,200
42,1,threat_intel,1.0714691745233063,0.05021617564539273,1.2462185781525332,0.9123288216576512,200
42,1,network_flow,1.2143796011103145,0.0916907280905391,1.5534735318708246,0.9595618132120869,200
42,1,asset_inventory,1.41861668403484,0.11956855448546133,1.8381047392998346,0.9821341508886023,200
42,1,user_behavior,1.4202546354383545,0.11322730212394179,1.8023136069003693,0.9060066605304196,200
42,2,security,3.3922733639164018,0.1278291262300321,3.701700225250164,3.0740286554194145,200
42,2,decision_history,7.506503095917858,0.15910688505599782,8.126112223982513,7.1977197906276675,200
42,2,threat_intel,14.414477315450814,0.1571386524816936,14.983192177363883,13.910405857760953,200
42,2,network_flow,24.099324267465683,0.16968915376751353,24.747095154329816,23.605153076351552,200
42,2,asset_inventory,33.83956319519569,0.17069771791706478,34.49171004376945,33.25787780312511,200
42,2,user_behavior,33.89838072382624,0.16209453869246093,34.485330236337944,33.26026707361665,200
42,3,security,117.5946053337961,0.1396274257001675,117.93981657818834,117.27202407902986,200
42,3,decision_history,286.6771516475903,0.16541524580497313,287.34931389695294,286.36055058996203,200
42,3,threat_intel,578.1797255552258,0.16186656363872834,578.7864100870668,577.6658051975304,200
42,3,network_flow,991.7873091387668,0.1761659357868217,992.4844624980575,991.2921545051971,200
42,3,asset_inventory,1405.5383789455213,0.17293289360368908,1406.2196169156603,1404.9597955346721,200
42,3,user_behavior,1405.6116473616078,0.16316764604519993,1406.2196740479737,1404.9755707224501,200
42,4,security,4788.540197916983,0.1395464998927934,4788.889482929207,4788.21702431678,200
42,4,decision_history,11536.553705351222,0.16590437037386022,11537.230795083193,11536.237299130793,200
42,4,threat_intel,23039.89694956597,0.16199018946786015,23040.505339482228,23039.382444448886,200
42,4,network_flow,39298.04749973137,0.17610935493987903,39298.74324201618,39297.55048309785,200
42,4,asset_inventory,55556.31748367192,0.1729343965100093,55556.99767810702,55555.737995426214,200
42,4,user_behavior,55556.39071902311,0.16321518306864338,55556.99767810702,55555.754933653945,200
42,5,security,189778.89047839172,0.13962404853890553,189779.2398178487,189778.5674947303,200
42,5,decision_history,458358.67849775706,0.16585887372880806,458359.3552323111,458358.3620131517,200
42,5,threat_intel,916989.4255081409,0.1619927477242885,916990.0339363037,916988.9109930209,200
42,5,network_flow,1565670.6276530654,0.17613916787558842,1565671.3238862266,1565670.1310327554,200
42,5,asset_inventory,2214351.9597825697,0.17293976389111712,2214352.6403280604,2214351.3804978547,200
42,5,user_behavior,2214352.0330104977,0.16321130985220414,2214352.6403280604,2214351.397201952,200
123,0,security,1.0,6.521083742145179e-17,1.0000000000000002,0.9999999999999998,200
123,0,decision_history,1.0,7.611305586242616e-17,1.0000000000000002,0.9999999999999998,200
123,0,threat_intel,1.0,7.406111315403548e-17,1.0000000000000002,0.9999999999999998,200
123,0,network_flow,1.0,6.753223014464259e-17,1.0000000000000002,0.9999999999999998,200
123,0,asset_inventory,1.0,7.928578270080921e-17,1.0000000000000002,0.9999999999999998,200
123,0,user_behavior,1.0,7.195067539997723e-17,1.0000000000000002,0.9999999999999998,200
123,1,security,1.0131178289157574,0.010951389459159749,1.0335406511259588,0.9849530378293628,200
