method,seed,domain_pair,theta_logit,top_k,threshold,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
two_stage,5120,secxdec,0.03,2,,400,9,391,6,0.0225,0.6,0.0434
two_stage,5120,secxdec,0.03,3,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,5120,secxdec,0.03,5,,990,13,977,2,0.0131,0.8667,0.0259
two_stage,5120,secxdec,0.04,1,,177,4,173,11,0.0226,0.2667,0.0417
two_stage,5120,secxdec,0.04,2,,302,9,293,6,0.0298,0.6,0.0568
two_stage,5120,secxdec,0.04,3,,367,9,358,6,0.0245,0.6,0.0471
two_stage,5120,secxdec,0.04,5,,414,9,405,6,0.0217,0.6,0.042
two_stage,5120,secxdec,0.05,1,,48,4,44,11,0.0833,0.2667,0.127
two_stage,5120,secxdec,0.05,2,,58,5,53,10,0.0862,0.3333,0.137
two_stage,5120,secxdec,0.05,3,,60,5,55,10,0.0833,0.3333,0.1333
two_stage,5120,secxdec,0.05,5,,60,5,55,10,0.0833,0.3333,0.1333
two_stage,5120,secxdec,0.06,1,,2,0,2,15,0.0,0.0,0.0
two_stage,5120,secxdec,0.06,2,,2,0,2,15,0.0,0.0,0.0
two_stage,5120,secxdec,0.06,3,,2,0,2,15,0.0,0.0,0.0
two_stage,5120,secxdec,0.06,5,,2,0,2,15,0.0,0.0,0.0
logit_only,5120,secxdec,0.01,,,15986,15,15971,0,0.0009,1.0,0.0019
logit_only,5120,secxdec,0.02,,,6365,15,6350,0,0.0024,1.0,0.0047
logit_only,5120,secxdec,0.03,,,1892,13,1879,2,0.0069,0.8667,0.0136
logit_only,5120,secxdec,0.04,,,421,9,412,6,0.0214,0.6,0.0413
logit_only,5120,secxdec,0.05,,,60,5,55,10,0.0833,0.3333,0.1333
logit_only,5120,secxdec,0.06,,,2,0,2,15,0.0,0.0,0.0
topk_only,5120,secxdec,,1,,200,4,196,11,0.02,0.2667,0.0372
topk_only,5120,secxdec,,2,,400,9,391,6,0.0225,0.6,0.0434
topk_only,5120,secxdec,,3,,600,11,589,4,0.0183,0.7333,0.0358
topk_only,5120,secxdec,,5,,1000,13,987,2,0.013,0.8667,0.0256
cosine,5120,secxdec,,,0.1,13073,15,13058,0,0.0011,1.0,0.0023
cosine,5120,secxdec,,,0.15,7280,15,7265,0,0.0021,1.0,0.0041
cosine,5120,secxdec,,,0.2,3599,15,3584,0,0.0042,1.0,0.0083
cosine,5120,secxdec,,,0.25,1589,13,1576,2,0.0082,0.8667,0.0162
cosine,5120,secxdec,,,0.3,626,12,614,3,0.0192,0.8,0.0374
cosine,5120,secxdec,,,0.35,212,6,206,9,0.0283,0.4,0.0529
random,5120,secxdec,,,,251,0.0628,250.9373,14.9373,0.0003,0.0042,0.0005
two_stage,6144,secxthr,0.01,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,6144,secxthr,0.01,2,,400,13,387,7,0.0325,0.65,0.0619
two_stage,6144,secxthr,0.01,3,,600,15,585,5,0.025,0.75,0.0484
two_stage,6144,secxthr,0.01,5,,1000,17,983,3,0.017,0.85,0.0333
two_stage,6144,secxthr,0.02,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,6144,secxthr,0.02,2,,400,13,387,7,0.0325,0.65,0.0619
two_stage,6144,secxthr,0.02,3,,600,15,585,5,0.025,0.75,0.0484
two_stage,6144,secxthr,0.02,5,,1000,17,983,3,0.017,0.85,0.0333
two_stage,6144,secxthr,0.03,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,6144,secxthr,0.03,2,,398,13,385,7,0.0327,0.65,0.0622
two_stage,6144,secxthr,0.03,3,,590,15,575,5,0.0254,0.75,0.0492
two_stage,6144,secxthr,0.03,5,,945,17,928,3,0.018,0.85,0.0352
two_stage,6144,secxthr,0.04,1,,169,7,162,13,0.0414,0.35,0.0741
two_stage,6144,secxthr,0.04,2,,270,10,260,10,0.037,0.5,0.069
two_stage,6144,secxthr,0.04,3,,324,11,313,9,0.034,0.55,0.064
two_stage,6144,secxthr,0.04,5,,355,11,344,9,0.031,0.55,0.0587
two_stage,6144,secxthr,0.05,1,,40,1,39,19,0.025,0.05,0.0333
two_stage,6144,secxthr,0.05,2,,50,2,48,18,0.04,0.1,0.0571
two_stage,6144,secxthr,0.05,3,,51,2,49,18,0.0392,0.1,0.0563
two_stage,6144,secxthr,0.05,5,,51,2,49,18,0.0392,0.1,0.0563
