condition,volume,q_bar,margin,seed,alarm_fired,alarm_index,t_damage,lead_time,miss,baseline_q,k_used
adversarial,50,0.6,0.05,6050023,False,,,,,0.6161,0.5661
adversarial,50,0.6,0.05,6050024,False,,491,,True,0.5692,0.5192
adversarial,50,0.6,0.05,6050025,True,187,178,-9,True,0.6961,0.6461
adversarial,50,0.6,0.05,6050026,True,243,161,-82,True,0.6669,0.6169
adversarial,50,0.6,0.05,6050027,True,141,463,322,False,0.7543,0.7043
adversarial,50,0.6,0.05,6050028,True,78,,,,0.8135,0.7635
adversarial,50,0.6,0.05,6050029,True,93,441,348,False,0.6932,0.6432
adversarial,50,0.6,0.08,6050000,False,,150,,True,0.6016,0.5216
adversarial,50,0.6,0.08,6050001,False,,414,,True,0.4629,0.3829
adversarial,50,0.6,0.08,6050002,False,,,,,0.6167,0.5367
adversarial,50,0.6,0.08,6050003,False,,,,,0.7276,0.6476
adversarial,50,0.6,0.08,6050004,False,,,,,0.6426,0.5626
adversarial,50,0.6,0.08,6050005,True,99,,,,0.8262,0.7462
adversarial,50,0.6,0.08,6050006,False,,324,,True,0.5716,0.4916
adversarial,50,0.6,0.08,6050007,False,,203,,True,0.5735,0.4935
adversarial,50,0.6,0.08,6050008,True,466,146,-320,True,0.6944,0.6144
adversarial,50,0.6,0.08,6050009,False,,,,,0.6788,0.5988
adversarial,50,0.6,0.08,6050010,True,323,,,,0.7048,0.6248
adversarial,50,0.6,0.08,6050011,False,,148,,True,0.6626,0.5826
adversarial,50,0.6,0.08,6050012,False,,349,,True,0.7021,0.6221
adversarial,50,0.6,0.08,6050013,True,127,,,,0.7895,0.7095
adversarial,50,0.6,0.08,6050014,False,,172,,True,0.6080,0.5280
adversarial,50,0.6,0.08,6050015,False,,187,,True,0.6324,0.5524
adversarial,50,0.6,0.08,6050016,True,233,472,239,False,0.7559,0.6759
adversarial,50,0.6,0.08,6050017,True,314,301,-13,True,0.6978,0.6178
