method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
random_policy,42,1000,0.269,0.254,0.240642,0.275,0.251515,0.30031
random_policy,42,2000,0.257,0.245,0.247978,0.280864,0.26324,0.244344
random_policy,42,5000,0.249,0.243667,0.26092,0.258782,0.240876,0.245711
random_policy,123,50,0.24,0.24,0.25,0.266667,0.235294,0.2
random_policy,123,100,0.23,0.22,0.153846,0.269231,0.242424,0.214286
random_policy,123,200,0.225,0.22,0.178571,0.255814,0.205882,0.245902
random_policy,123,500,0.24,0.25,0.180723,0.265306,0.257143,0.236111
random_policy,123,1000,0.245,0.25,0.179641,0.216667,0.260997,0.278846
random_policy,123,2000,0.246,0.247,0.238372,0.202417,0.245427,0.272048
random_policy,123,5000,0.2598,0.269,0.263466,0.246294,0.255685,0.269184
random_policy,456,50,0.28,0.28,0.25,0.363636,0.315789,0.166667
random_policy,456,100,0.27,0.26,0.357143,0.333333,0.314286,0.151515
random_policy,456,200,0.24,0.21,0.2,0.292683,0.274194,0.19403
random_policy,456,500,0.264,0.28,0.162162,0.28125,0.303797,0.261628
random_policy,456,1000,0.257,0.25,0.214765,0.253886,0.289809,0.247093
random_policy,456,2000,0.249,0.241,0.227425,0.26257,0.25661,0.244286
random_policy,456,5000,0.2438,0.240333,0.236613,0.260428,0.246906,0.235537
random_policy,789,50,0.32,0.32,0.333333,0.333333,0.222222,0.411765
random_policy,789,100,0.23,0.14,0.3125,0.357143,0.15625,0.210526
random_policy,789,200,0.25,0.27,0.272727,0.269231,0.230769,0.25
random_policy,789,500,0.222,0.203333,0.213592,0.292308,0.216374,0.204969
random_policy,789,1000,0.242,0.262,0.25641,0.211538,0.241692,0.248428
random_policy,789,2000,0.24,0.238,0.240541,0.230114,0.243789,0.241325
random_policy,789,5000,0.2538,0.263,0.239861,0.254376,0.261624,0.253149
random_policy,1024,50,0.24,0.24,0.166667,0.666667,0.173913,0.2
random_policy,1024,100,0.22,0.2,0.222222,0.5,0.162791,0.185185
random_policy,1024,200,0.275,0.33,0.323529,0.387097,0.253521,0.21875
random_policy,1024,500,0.248,0.23,0.27381,0.302632,0.254237,0.202454
